language,code,greeting
Afrikaans,af,Hallo
Albanian,sq,Përshëndetje
Amharic,am,Iwi selami newi
Arabic,ar,Marhaba
Armenian,hy,Barev
Aymara,ay,Kamisaki
Azerbaijani,az,Salam
Basque,eu,Kaixo
Belarusian,be,Vitaju
Bengali,bn,Hyālō
Bosnian,bs,Zdravo
Bulgarian,bg,Zdraveĭte
Burmese,my,Haallo
Cantonese,zh,Nǐ hǎo
Catalan,ca,Hola
Chichewa,ny,Moni
Corsican,co,Bonghjornu
Croatian,hr,Zdravo
Czech,cs,Ahoj
Danish,da,Hej
Dutch,nl,Hallo
English,en,Hello
Estonian,et,Tere
Ewe,ee,Hello
Farsi,fa,Salām
Fijian,fj,Bula
Finnish,fi,Hei
French,fr,Bonjour
Irish Gaelic,ga,Dia dhuit
Scottish Gaelic,gd,Halò
Galician,gl,Ola
Georgian,ka,Gamarjoba
German,de,Guten tag
Greek,el,Geia
Guarani,gn,Mba'éichapa
Haitian Creole,ht,Bonjou
Hebrew,he,Shalom
Hindi,hi,Namaste
Hungarian,hu,Szia
Icelandic,is,Halló
Igbo,ig,Ndewo
Indonesian,id,Halo
Italian,it,Ciao
Japanese,ja,Konichiwa
Kazakh,kk,Sälemetsiz be
Khmer,km,Suostei
Kinyarwanda,rw,Mwaramutse
Korean,ko,Anyeong haseyo
Kurdish,ku,Slav
Lao,lo,Sabaidi
Latin,la,Salve
Latvian,lv,Sveika
Lithuanian,lt,Sveiki
Luxembourgish,lb,Moien
Malagasy,mg,Salama
Malay,ms,Selamat pagi
Maltese,mt,Bongu
Mandarin,zh,Nǐ hǎo
Maori,mi,Kia ora
Marathi,mr,Namaskāra
Mongolian,mn,Sain uu
Navajo,nv,Ya’at’eeh
Nepali,ne,Namaskāra
Norwegian,nb,Hei
Pashto,ps,Salam
Polish,pl,Cześć
Portuguese,pt,Olá
Punjabi,pa,Sata srī akāla
Oromo,om,Akkam
Quechua,qu,Allianchu
Romanian,ro,Bunâ
Russian,ru,Privet
Samoan,sm,Talofa
Serbian,sr,Zdravo
Slovak,sk,Ahoj
Slovenian,sl,Zdravo
Somali,so,Hello
Spanish,es,Hola
Swahili,sw,Jambo
Swedish,sv,Hallå
Tagalog,tl,Kamusta
Tahitian,ty,Ia Orana
Tamil,ta,Vanakkam
Thai,th,S̄wạs̄dī
Tibetan,bo,Tashi delek
Tongan,to,Mālō e lelei
Tsonga,ts,Avuxeni
Turkish,tr,Merhaba
Ukrainian,uk,Privit
Urdu,ur,Assalāmu Alaykum
Uzbek,uz,Salom
Vietnamese,vi,Xin chào
Welsh,cy,Helo
Xhosa,xh,Molo
